producto_id,nombre_producto,categoria,precio_unitario,stock_disponible,fecha_ingreso
366,Sensor de Movimiento Smart,Domotica,19.8,157.0,2025-08-31
179,Laminadora Documentos A4,Oficina,48.0,35.0,
448,Soporte Teléfono de Mesa,Accesorios,9.2,,2025-08-03
356,Monitor Gaming 27,Electronica,337.76,32.0,2024-07-02
428,Teclado Numérico Inalámbrico,Accesorios,20.45,121.0,2025-06-26
392,soporte audífonos rgb,Accesorios,22.32,143.0,2024-09-21
285,Soporte Teléfono de Mesa,Accesorios,7.69,322.0,2025-01-06
183,Adaptador Bluetooth USB,Accesorios,10.0,320.0,2024-08-20
498,,componentes,,136.0,2025-04-30
443,Silla Ergonomica,,1.0,36.0,
328,Adaptador DisplayPort a HDMI,Accesorios,-100.0,351.0,
176,Pantalla de Proyección 100,Electronica,75.0,,2024-08-03
319,,Mobiliario,,46.0,2024-12-12
498,Memoria RAM DDR5 32GB,Componentes,185.92,136.0,2025-04-30
443,Silla Ergonomica,Mobiliario,264.05,,2024-05-30
177,Teclado Bluetooth Multidispositivo,Accesorios,42.5,110.0,2024-08-05
107,Escritorio Ajustable,Mobiliario,450.0,10.0,2024-02-03
294,Toallitas Microfibra x10,Mantenimiento,10.43,329.0,
174,Altavoz Inteligente Asistente,Electronica,55.0,105.0,2024-07-28
255,Escritorio Ajustable,Mobiliario,500.85,49.0,2024-05-24
110,Microfono Condensador,Audio,95.0,40.0,2024-02-15
277,cinta organizadora velcro 5m,Oficina ,6.91,423.0,2024-10-31
131,Batería Externa 20000mAh,Accesorios,39.99,140.0,2024-04-10
101,SSD M.2 NVMe 1TB,Almacenamiento,106.85,142.0,2024-12-09
205,Cojín para Asiento Gel,Mobiliario,33.82,87.0,2025-09-23
233,Mouse Vertical Ergonómico,Accesorios,36.03,68.0,2024-07-08
171,Teclado Mecánico 60%,Accesorios,72.0,85.0,2024-07-20
321,Tóner Negro Estándar,Oficina,56.09,121.0,2024-06-30
193,Multímetro Digital,Herramientas,31.0,75.0,2024-09-15
156,Caja Externa para SSD M.2,Almacenamiento,26.0,125.0,
406,Tarjeta de Red Wi-Fi PCIe,Redes,40.08,55.0,2024-12-04
432,Microfono Condensador,,97.06,63.0,2025-02-01
258,Termómetro / Higrómetro Digital,Domotica,15.89,178.0,2025-01-28
478,Unidad de Respaldo UPS 850VA,Componentes,96.58,3.0,2024-08-23
469,Trípode de Mesa Aluminio,Fotografia,29.23,152.0,
173,Auriculares In Ear Streamer,Audio,32.0,120.0,2024-07-25
305,Microfono Condensador,Audio,120.84,89.0,2024-11-30
160,,Electronica,,106.0,2025-01-25
140,Gabinete PC ATX,Componentes,85.0,55.0,2024-05-03
339,Repetidor Wi-Fi Dual Band,Redes,31.91,201.0,2024-11-06
480, Auriculares In Ear Streamer ,audio,26.45,73.0,2024-12-25
232, Teclado Bluetooth Multidispositivo ,accesorios,36.59,155.0,2025-03-23
330,Pantalla de Proyección 100,Electronica,84.63,0.0,2025-01-23
180,Destructora de Papel,Oficina,65.0,25.0,2024-08-12
256,Interfaz de Audio USB 2ch,Audio,107.21,123.0,2025-04-21
134,,Fotografia,,115.0,2024-04-18
282,Escritorio Ajustable,Mobiliario,461.63,0.0,2024-12-19
405,Auriculares Noise Cancelling,Audio,225.74,103.0,2024-04-02
178,Puntero Presentador Láser,,18.0,140.0,2024-08-08
482,Silla Ejecutiva Cuero,Mobiliario,220.43,89.0,2025-03-31
485,Cojín Lumbar Viscoelástico,Mobiliario,21.43,150.0,2024-09-27
116,Altavoces Bluetooth,Audio,65.0,70.0,2024-03-03
249,Bolsa Térmica Almuerzo,Oficina,16.47,176.0,2025-01-31
227,Trípode de Mesa Aluminio,Fotografia,19.66,126.0,2024-11-19
120,Laptop Pro 15,Electronica,1250.0,45.0,
120,Teclado Ergonómico,Accesorios,98.0,45.0,2024-03-12
382,Cable HDMI 2.1 2m,Accesorios,-5.0,470.0,2024-10-27
391,Altavoz Inteligente Asistente,Electronica,58.31,71.0,2025-03-15
157,Tarjeta de Red Wi-Fi PCIe,Redes,35.0,80.0,2024-06-15
403,Brazo Articulado Micrófono,Audio,49.34,40.0,2025-03-09
253,Repetidor Wi-Fi Dual Band,Redes,34.79,238.0,2025-01-22
194,Cautín de Soldar 60W,Herramientas,19.5,85.0,2024-09-18
390,Termómetro / Higrómetro Digital,Domotica,13.56,243.0,
497,Disipador CPU Aire,Componentes,42.62,79.0,2024-09-15
386,Caja Externa para SSD M.2,Almacenamiento,26.43,102.0,2024-08-28
467,Cinta Organizadora Velcro 5m,Oficina,5.7,471.0,
126,Cable HDMI 2.1 2m,Accesorios,12.0,400.0,2024-03-28
281,Cable HDMI 2.1 2m,,14.35,362.0,2025-02-06
376,Caja Externa para SSD M.2,,25.39,170.0,2024-12-23
214,Interfaz de Audio USB 2ch,Audio,98.05,2.0,
143,Refrigeración Líquida 240mm,Componentes,125.0,30.0,2024-05-10
490,Cable HDMI 2.1 2m,Accesorios,9.45,360.0,2025-01-17
487,Adaptador DisplayPort a HDMI,Accesorios,9.73,351.0,2024-07-20
378,Teclado Numérico Inalámbrico,Accesorios,15.06,59.0,2024-08-31
273,Auriculares Noise Cancelling,Audio,167.35,46.0,2024-11-06
225,Filtro Anti-pop Microfono,Audio,16.58,262.0,
385,Webcam Full HD 1080p,,63.88,81.0,2024-06-15
123,Brazo Articulado Monitor,Mobiliario,62.0,60.0,
147,Protector de Picos 8 Tomas,Accesorios,22.5,130.0,2024-05-20
110,Kits de Limpieza Pantallas,Mantenimiento,7.5,380.0,2024-09-10
347,Cable Ethernet Cat 6 10m,,12.7,207.0,2025-01-23
217,Mouse Inalambrico,Accesorios,22.13,193.0,2024-07-01
302,Impresora Multifuncional,Oficina,158.7,43.0,2024-05-21
158,Cable Ethernet Cat 6 10m,Redes,14.5,230.0,2024-06-18
238,Caja Organizadora Cables XL,Oficina,16.19,208.0,2025-09-16
125,Switch Gigabit 8 Puertos,Redes,38.5,,2024-03-25
118,Mochila Antirrobo,Accesorios,48.0,95.0,2024-03-08
105,Cinta Organizadora Velcro 5m,Oficina,6.5,450.0,2024-07-10
367,Tóner Negro Estándar,Oficina,47.48,111.0,2024-12-12
395,Enchufe Inteligente Medidor Consumo,Domotica,19.34,193.0,2025-01-21
132,Capturadora de Video 4K,Electronica,135.0,35.0,2024-04-12
185, Token de Seguridad FIDO2 ,seguridad,45.0,90.0,2024-08-25
402,Soporte Tablet Articulado,Accesorios,17.95,120.0,2024-10-29
499,Hub USB-C 7 en 1,Accesorios,39.84,,2024-12-20
195,Soporte Tablet Articulado,Accesorios,23.0,140.0,2024-09-20
130,Tóner Negro Estándar,Oficina,45.0,110.0,2024-04-08
105,Silla Ergonomica,,0.0,15.0,2024-01-25
254,Toallitas Microfibra x10,Mantenimiento,10.39,281.0,2024-12-19
496,Gabinete PC ATX,Componentes,97.79,65.0,2024-08-14
269,Sensor de Movimiento Smart,Domotica,19.79,156.0,
397,Fuente de Poder 750W Gold,Componentes,102.92,40.0,2025-03-20
106,Auriculares Noise Cancelling,Audio,175.5,,2024-02-01
146,,,,220.0,2024-05-18
343,reposapiés ergonómico,MOBILIARIO,33.97,20.0,2025-06-01
182,Cable VGA a HDMI 1.8m,Accesorios,8.5,210.0,2024-08-18
479,Gabinete PC ATX,Componentes,96.42,-10.0,2025-04-26
106,Auriculares Noise Cancelling,Audio,175.5,15000.0,2024-02-01
117,Cargador Carga Rápida 65W,,29.99,210.0,2024-03-05
298,Organizador de Cables Espiral,Oficina,6.8,566.0,2025-06-10
218, Altavoz Inteligente Asistente ,Electronica,68.32,68.0,2025-07-13
415,Auriculares In Ear Streamer,Audio,37.38,107.0,
104,Mouse Inalambrico,Accesorios,25.99,200.0,2024-01-22
119,SSD M.2 NVMe 1TB,Almacenamiento,89.99,130.0,2024-03-10
494,Panel de Luz LED Streaming,Fotografia,64.69,80.0,2025-04-14
161,Monitor Portable 15.6,Electronica,210.0,35.0,2024-06-25
457,Teclado Ergonómico,,95.85,57.0,2024-09-16
130,Adaptador DisplayPort a HDMI,Accesorios,10.82,355.0,2025-01-25
164,Anillo de Luz 10 Pulgadas,Fotografia,21.0,140.0,2024-07-03
211,Monitor Curvo 34,Electronica,578.71,0.0,2025-04-06
379,Disipador CPU Aire,Componentes,36.01,114.0,2024-05-08
309,Kits de Limpieza Pantallas,Mantenimiento,8.93,453.0,2024-10-12
130,Tóner Negro Estándar,Oficina,45.0,110.0,
241,Foco LED RGB Wi-Fi 10W,,10.2,268.0,2025-10-03
453,Refrigeración Líquida 240mm,Componentes,96.01,4.0,2024-11-05
375,Altavoces Bluetooth,Audio,71.66,123.0,
127,Filtro de Pantalla Privacidad,Accesorios,32.0,75.0,
108,Webcam Full HD 1080p,Accesorios,55.0,85.0,2024-02-10
473,Laptop Pro 15,Electronica,1499.49,5.0,2024-09-04
500,Monitor Portable 15.6,Electronica,248.75,-1.0,2025-05-01
209,Base Enfriadora Laptop,Accesorios,31.91,110.0,
447, Brazo Articulado Micrófono ,Audio,31.11,91.0,2024-04-22
275,Interfaz de Audio USB 2ch,Audio,146.3,61.0,2024-10-27
219,Organizador de Cables Espiral,Oficina,7.44,489.0,2024-12-20
215, Puntero Presentador Láser ,Oficina ,17.37,139.0,2025-08-02
472,SSD M.2 NVMe 1TB,Almacenamiento,96.35,161.0,2024-03-11
311,Cinta Organizadora Velcro 5m,Oficina,7.81,473.0,2024-08-21
426,Cámara de Seguridad IP,Redes,71.19,102.0,2024-09-17
436,Pantalla de Proyección 100,Electronica,88.09,64.0,2024-11-25
463,Laptop Pro 15,Electronica,1167.37,49.0,2025-01-07
300,Multímetro Digital,Herramientas,30.4,5000.0,2025-02-15
492,Repetidor Wi-Fi Dual Band,Redes,29.86,163.0,2024-08-06
242, Capturadora de Video 4K ,Electrónica,139.77,97.0,2025-02-23
423,Cable HDMI 2.1 2m,Accesorios,14.99,438.0,2024-11-19
323,Enchufe Inteligente Medidor Consumo,Domotica,13.99,235.0,2025-06-24
466,Escritorio Ajustable,Mobiliario,500.58,24.0,
392,Soporte Audífonos RGB,Accesorios,22.32,143.0,2024-09-21
210,Disco Duro Interno 4TB NAS,Almacenamiento,167.8,50.0,2024-10-22
489,fondo verde chroma key,Fotografia,150000.0,45.0,2025-07-10
246,Cargador Solar Portátil,,39.95,118.0,2024-10-11
304,Enchufe Inteligente Medidor Consumo,Domotica,15.64,260.0,2024-10-25
266,Organizador de Cables Espiral,Oficina,6.41,564.0,2025-05-31
276,Mochila Antirrobo,Accesorios,50.7,98.0,2024-05-04
184,Lector Huella Dactilar USB,Seguridad,29.0,65.0,2024-08-22
452,Proyector Mini HD,Electronica,176.07,68.0,2024-08-17
274,Multímetro Digital,Herramientas,30.55,119.0,2024-12-22
175,Proyector Mini HD,Electronica,140.0,28.0,2024-08-01
328,Adaptador DisplayPort a HDMI,Accesorios,11.75,351.0,2024-10-15
422,Silla Ejecutiva Cuero,Mobiliario,347.42,84.0,2024-07-11
220,,Oficina,,85.0,2024-10-03
338,Teclado Ergonómico,Accesorios,79.9,55.0,2025-03-29
362,Escáner Portátil Documentos,Oficina,194.99,,2025-01-18
297,Laptop Pro 15,,1241.62,90.0,2024-05-19
349,,Audio,,56.0,2024-02-10
419,Gabinete PC ATX,Componentes,97.48,64.0,2025-03-18
296,Disco Duro Externo 2TB,Almacenamiento,84.93,188.0,
324,teclado mecánico 60%,accesorios,91.89,162.0,2024-09-09
450,Altavoz Inteligente Asistente,Electronica,65.54,171.0,
335,Batería Externa 20000mAh,Accesorios,40.59,197.0,2024-10-08
137,Silla Ejecutiva Cuero,Mobiliario,290.0,12.0,2024-04-25
240,Monitor Gaming 27,Electronica,241.22,41.0,2024-07-02
422,Silla Ejecutiva Cuero,Mobiliario,347.42,84.0,2024-07-11
354, Termómetro / Higrómetro Digital ,Domotica,11.53,179.0,2024-10-06
408, SSD M.2 NVMe 1TB ,Almacenamiento,77.37,99.0,2024-06-30
484,Silla Ejecutiva Cuero,Mobiliario,321.4,83.0,
160,Interfaz de Audio USB 2ch,Audio,120.0,45.0,2024-06-22
212,Caja Organizadora Cables XL,Oficina,22.42,88.0,2025-08-16
312,Memoria RAM DDR5 32GB,Componentes,130.6,46.0,2024-08-14
310, Panel de Luz LED Streaming ,Fotografía,86.12,100.0,2025-01-07
107,Escritorio Ajustable,Mobiliario,450.0,10.0,
418,trípode de mesa aluminio,Fotografía,20.82,0.0,2024-04-18
459,Base Enfriadora Laptop,Accesorios,23.3,88.0,
259,Panel de Luz LED Streaming,Fotografia,79.42,74.0,2024-08-05
251,Teclado Ergonómico,Accesorios,91.07,84.0,2024-08-05
278,Capturadora de Video 4K,Electronica,151.08,111.0,2024-09-13
111,Tablet Ultra 10,Electronica,450.0,50.0,2024-02-18
369,Teclado Numérico Inalámbrico,Accesorios,22.11,83.0,2025-06-23
204,Router Wi-Fi 6,Redes,127.42,82.0,2024-12-04
182,Cable VGA a HDMI 1.8m,Accesorios,8.5,210.0,2024-08-18
351,Panel de Luz LED Streaming,Fotografia,84.79,10.0,2025-03-21
376,Caja Externa para SSD M.2,Almacenamiento,25.39,170.0,2024-12-23
268,Teclado Numérico Inalámbrico,Accesorios,24.19,81.0,2024-06-27
289,,Audio,,0.0,2024-10-02
385,Webcam Full HD 1080p,Accesorios,63.88,,2024-06-15
190,Cinta Organizadora Velcro 5m,Oficina,8.05,491.0,2025-03-30
462,Cautín de Soldar 60W,Herramientas,20.63,97.0,2025-01-27
299,Altavoces Bluetooth,Audio,67.22,88.0,2024-12-05
295, Limpiador Aire Comprimido 400ml ,Mantenimiento,14.07,212.0,2025-01-12
190,limpiador aire comprimido 400ml,Mantenimiento,11.0,240.0,2024-09-08
332,Destornillador Precisión Kit,Herramientas,19.87,207.0,2024-11-20
264, Tarjeta MicroSD 256GB ,Almacenamiento,26.48,377.0,2025-03-22
475,Teclado Ergonómico,Accesorios,107.14,47.0,2025-03-01
248,Caja Externa para SSD M.2,Almacenamiento,9999.0,112.0,2025-03-18
103,,Electronica,,30.0,2024-01-20
193,Multímetro Digital,Herramientas,31.0,75.0,
170,Termo Acero Inoxidable 1L,Oficina,22.0,160.0,2024-07-18
387,Cojín para Asiento Gel,Mobiliario,32.1,63.0,2025-03-08
224,Cojín para Asiento Gel,Mobiliario,21.22,130.0,2025-09-29
425,Repetidor Wi-Fi Dual Band,Redes,31.42,141.0,2024-10-26
197,Foco LED RGB Wi-Fi 10W,Domotica,12.5,260.0,2024-09-25
244,Monitor Gaming 27,Electronica,292.95,,2024-04-09
434,Cojín para Asiento Gel,Mobiliario,30.3,64.0,2025-02-06
477,Tóner Negro Estándar,Oficina,45.81,187.0,2024-11-17
198,Sensor de Movimiento Smart,Domotica,21.0,110.0,2024-09-28
458,,Mobiliario,,142.0,2024-12-21
169,Bolsa Térmica Almuerzo,Oficina,15.0,130.0,2024-07-15
124,Router Wi-Fi 6,Redes,115.0,80.0,2024-03-22
138,Cámara de Seguridad IP,Redes,68.0,90.0,
245,Consola de Mezclas USB,Audio,200.77,99.0,2025-01-25
223,Teclado Mecánico 60%,Accesorios,70.77,163.0,2024-12-02
345,Interruptor Inteligente Wi-Fi,Domotica,12.9,241.0,2025-02-24
303,Cautín de Soldar 60W,Herramientas,23.8,119.0,2024-10-26
283,Webcam Full HD 1080p,Accesorios,62.48,-20.0,2024-07-01
168,cerradura inteligente escritorio,Oficina,38.0,50.0,2024-07-12
326,Termómetro / Higrómetro Digital,Domotica,15.14,247.0,2024-11-22
424,,Componentes,,84.0,2025-03-31
430,impresora multifuncional,Oficina ,199.38,12.0,
223,,Accesorios,,163.0,2024-12-02
363,Silla Ergonomica,Mobiliario,167.71,21.0,2024-05-15
203, Proyector Mini HD ,Electrónica,140.36,94.0,
340,Soporte Teléfono de Mesa,Accesorios,10.12,315.0,2024-10-25
226,Fuente de Poder 750W Gold,Componentes,137.86,86.0,2025-01-27
247, Teclado Mecanico RGB ,accesorios,89.09,9999.0,2024-08-07
437,,Audio,,77.0,2025-01-29
483,Disipador CPU Aire,Componentes,45.35,78.0,2024-05-24
324,Teclado Mecánico 60%,Accesorios,91.89,162.0,2024-09-09
329,Filtro Anti-pop Microfono,Audio,17.34,,2024-09-12
187,Cojín Lumbar Viscoelástico,Mobiliario,26.5,115.0,
470,Capturadora de Video 4K,Electronica,164.79,39.0,2024-04-18
320,Disco Duro Interno 4TB NAS,Almacenamiento,151.19,98.0,2025-06-05
350,Caja Externa para SSD M.2,Almacenamiento,32.04,183.0,
471,Altavoz Inteligente Asistente,Electronica,43.84,139.0,2024-12-21
346,Webcam Full HD 1080p,Accesorios,46.38,124.0,2024-06-24
180,Caja Externa para SSD M.2,Almacenamiento,21.4,77.0,2024-09-30
433,Cámara de Seguridad IP,Redes,71.06,86.0,2024-12-11
284,Toallitas Microfibra x10,Mantenimiento,9.62,271.0,2025-04-14
348,Fuente de Poder 750W Gold,Componentes,98.23,-5.0,
413,Brazo Articulado Monitor,Mobiliario,65.22,139.0,2024-04-01
411,Enchufe Inteligente Medidor Consumo,,17.14,162.0,2025-03-12
412,Auriculares Noise Cancelling,Audio,164.12,19.0,2024-10-18
230,Laptop Pro 15,Electronica,1433.69,97.0,2024-10-23
139,Repetidor Wi-Fi Dual Band,Redes,27.5,160.0,2024-05-01
112,Hub USB-C 7 en 1,Accesorios,42.0,150.0,
399,,Oficina,,142.0,2024-12-14
286,Mousepad Gamer XL,Accesorios,16.66,285.0,2025-01-16
400,Monitor Curvo 34,Electronica,483.76,83.0,2024-03-18
381,Trípode de Mesa Aluminio,Fotografia,20.11,109.0,2024-06-29
213,Adaptador DisplayPort a HDMI,Accesorios,10.09,321.0,2025-06-06
280,Refrigeración Líquida 240mm,Componentes,142.49,18.0,2024-10-26
461,,Electronica,,107.0,2024-05-07
398,Sensor de Movimiento Smart,Domotica,18.57,,
462,Cautín de Soldar 60W,Herramientas,20.63,97.0,2025-01-27
315,Trípode de Mesa Aluminio,Fotografia,21.89,122.0,2024-08-09
417,,Oficina,,,2024-10-11
334,Pasta Térmica Alto Rendimiento,Componentes,11.06,,2025-01-21
373,Refrigeración Líquida 240mm,,110.26,94.0,2024-08-28
265,Escritorio Ajustable,Mobiliario,515.93,87.0,2024-03-06
102,Tóner Negro Estándar,Oficina,55.61,187.0,2025-03-21
298,Organizador de Cables Espiral,Oficina,6.8,566.0,2025-06-10
359, Teclado Bluetooth Multidispositivo ,accesorios,36.72,172.0,2025-05-19
333,Fondo Verde Chroma Key,Fotografia,55.54,80.0,2025-02-06
216,Mouse Inalambrico,Accesorios,23.95,203.0,2024-05-06
221,Router Wi-Fi 6,Redes,108.81,153.0,2024-05-01
325,Adaptador Bluetooth USB,Accesorios,10.21,386.0,2024-10-27
455,Mousepad Gamer XL,Accesorios,13.5,313.0,2024-05-05
454,Termo Acero Inoxidable 1L,Oficina,16.91,138.0,2024-09-18
228,Silla Ejecutiva Cuero,Mobiliario,333.87,65.0,2024-11-24
499,Hub USB-C 7 en 1,Accesorios,0.0,143.0,2024-12-20
208,Toallitas Microfibra x10,Mantenimiento,11.57,254.0,2025-03-20
439,Cámara de Seguridad IP,Redes,59.5,62.0,2025-02-24
